,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,79,121,188,188,327
Expenses +,71,106,155,151,274
Operating Profit,8,14,33,37,54
OPM %,10%,12%,17%,20%,16%
Other Income +,0,-5,0,1,1
Interest,2,1,1,2,2
Depreciation,1,1,1,3,3
Profit before tax,6,8,30,32,49
Tax %,21%,17%,23%,28%,28%
Net Profit +,5,6,24,23,35
EPS in Rs,2.51,2.57,9.64,9.56,14.43
Raw PDF,,,,,
