,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales +,3,29,54,2,22,49,30,53,27,37,-8,10,12
Expenses +,456,5,36,6,8,3,4,49,7,6,5,3,8
Operating Profit,-453,24,18,-4,14,47,25,4,19,31,-13,7,4
OPM %,"-16,431%",81%,33%,-163%,65%,94%,85%,7%,72%,84%,,73%,35%
Other Income +,46,246,36,215,245,297,249,"3,754",256,200,218,344,82
Interest,0,0,0,0,0,0,0,0,7,0,0,0,0
Depreciation,1,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,-409,269,54,211,260,343,275,"3,758",268,230,205,351,87
Tax %,0%,3%,67%,8%,3%,3%,1%,10%,1%,3%,-3%,1%,1%
Net Profit +,-410,263,18,194,252,332,272,"3,387",264,224,210,348,86
EPS in Rs,-2.57,1.64,0.11,1.22,1.58,2.08,1.70,21.17,1.65,1.40,1.31,2.17,0.54
Raw PDF,,,,,,,,,,,,,
