,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,111,128,138,144,155,171,167,178,212,218,219
Expenses +,85,94,101,105,113,126,120,131,158,163,164
Operating Profit,26,34,36,38,41,46,46,47,54,55,55
OPM %,23%,26%,26%,27%,27%,27%,28%,26%,25%,25%,25%
Other Income +,1,1,1,1,1,4,5,6,4,3,4
Interest,4,5,6,6,6,3,0,0,3,2,2
Depreciation,6,6,7,8,7,7,8,8,11,16,17
Profit before tax,16,23,24,25,29,40,44,44,43,40,40
Tax %,30%,30%,12%,31%,35%,30%,33%,13%,29%,23%,24%
Net Profit +,11,16,21,17,19,28,29,38,30,31,30
EPS in Rs,1.68,2.47,3.24,2.64,2.91,3.21,3.44,4.47,3.54,3.61,3.16
Raw PDF,,,,,,,,,,,
