,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,104,103,117,106,107,117,163,161,187,189,193,179,201
Expenses +,79,78,86,80,83,89,127,120,139,139,143,133,150
Operating Profit,25,26,31,26,24,28,36,40,48,49,50,45,51
OPM %,24%,25%,27%,25%,23%,24%,22%,25%,25%,26%,26%,25%,25%
Other Income +,1,2,2,2,3,3,2,1,2,1,2,3,2
Interest,1,1,1,1,0,1,3,3,2,2,2,1,1
Depreciation,5,6,6,6,6,6,11,11,11,11,11,11,12
Profit before tax,21,22,27,22,21,24,24,28,36,38,39,36,41
Tax %,25%,25%,27%,28%,26%,25%,20%,25%,25%,25%,25%,23%,17%
Net Profit +,15,16,20,16,15,18,19,21,27,28,29,28,34
EPS in Rs,5.05,5.33,6.55,5.16,5.05,5.80,6.22,6.69,8.60,8.97,9.34,8.80,10.67
Raw PDF,,,,,,,,,,,,,
