,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,572,565,541,523,587,563,545,520,504,502,526,523,528
Expenses +,527,509,510,481,492,491,481,476,454,451,484,476,465
Operating Profit,45,56,32,43,95,73,64,44,50,51,42,47,63
OPM %,8%,10%,6%,8%,16%,13%,12%,9%,10%,10%,8%,9%,12%
Other Income +,7,5,5,7,9,7,7,8,8,7,6,4,5
Interest,2,3,4,5,5,4,4,4,3,2,4,4,4
Depreciation,11,11,11,12,12,14,16,16,16,17,18,19,19
Profit before tax,39,47,22,33,87,61,51,32,37,40,26,28,45
Tax %,23%,26%,28%,28%,26%,25%,26%,28%,26%,24%,26%,26%,30%
Net Profit +,30,35,16,24,65,46,38,23,28,30,19,21,31
EPS in Rs,1.01,1.18,0.54,0.81,2.21,1.56,1.29,0.79,0.94,1.02,0.65,0.70,1.07
Raw PDF,,,,,,,,,,,,,
