,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,694,622,688,664,742,661,642,606,620,555,598,557,677
Expenses +,608,555,613,593,649,577,565,536,534,490,531,495,583
Operating Profit,86,67,74,71,94,84,76,70,86,65,67,62,93
OPM %,12%,11%,11%,11%,13%,13%,12%,12%,14%,12%,11%,11%,14%
Other Income +,3,0,0,1,1,1,1,2,1,1,1,12,2
Interest,6,7,8,9,9,9,8,8,9,9,9,9,9
Depreciation,13,13,13,13,12,13,13,13,14,13,14,14,15
Profit before tax,70,48,53,50,73,64,56,52,64,44,46,51,71
Tax %,22%,28%,27%,26%,23%,24%,30%,29%,26%,24%,24%,27%,12%
Net Profit +,55,35,39,37,56,48,40,37,47,33,35,37,63
EPS in Rs,5.98,3.76,4.18,3.96,6.06,5.17,4.31,3.99,5.15,3.62,3.81,4.03,6.84
Raw PDF,,,,,,,,,,,,,
