,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,208.46","1,692.55","1,292.37","1,935.00","1,721.94","1,248.84","1,232.57","1,663.21","1,097.33","1,061.82",599.58,"1,448.63",949.42
Expenses +,"1,098.49","1,395.87","1,109.68","1,698.45","1,522.58","1,064.65","1,085.66","1,530.85","1,054.30","1,024.64",656.17,"1,413.56",917.89
Operating Profit,109.97,296.68,182.69,236.55,199.36,184.19,146.91,132.36,43.03,37.18,-56.59,35.07,31.53
OPM %,9.10%,17.53%,14.14%,12.22%,11.58%,14.75%,11.92%,7.96%,3.92%,3.50%,-9.44%,2.42%,3.32%
Other Income +,2.52,-1.63,22.76,-22.54,35.57,51.89,-7.21,39.44,54.13,-128.84,59.62,48.16,57.01
Interest,61.88,59.73,61.56,62.47,62.02,61.49,62.64,61.24,61.59,61.46,62.04,61.37,61.80
Depreciation,7.02,8.78,6.90,6.94,7.12,9.15,5.25,5.32,5.25,10.75,5.32,6.44,12.05
Profit before tax,43.59,226.54,136.99,144.60,165.79,165.44,71.81,105.24,30.32,-163.87,-64.33,15.42,14.69
Tax %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-62.65%,-24.34%,27.50%,45.54%
Net Profit +,43.59,226.54,136.99,144.60,165.79,165.44,71.81,105.24,30.32,-61.20,-48.67,11.18,8.00
EPS in Rs,0.67,3.50,2.12,2.23,2.56,2.56,1.11,1.63,0.47,-0.95,-0.75,0.17,0.12
Raw PDF,,,,,,,,,,,,,
