,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,502,558,475,576,622,540,587,669,709,561,475,564,658
Expenses +,441,497,469,528,583,509,527,582,641,514,455,526,621
Operating Profit,61,61,6,48,39,30,60,87,68,47,20,38,37
OPM %,12%,11%,1%,8%,6%,6%,10%,13%,10%,8%,4%,7%,6%
Other Income +,4,12,15,14,181,4,18,4,44,8,5,5,-24
Interest,47,48,50,51,52,44,47,49,45,46,46,48,47
Depreciation,32,37,38,40,42,50,51,57,56,56,58,59,58
Profit before tax,-13,-11,-68,-29,126,-59,-20,-15,10,-48,-79,-64,-93
Tax %,43%,17%,-36%,-19%,30%,-29%,-48%,-28%,-13%,-32%,-28%,-15%,-21%
Net Profit +,-19,-13,-44,-24,88,-42,-11,-10,12,-32,-57,-54,-73
EPS in Rs,-0.98,-0.55,-2.80,-1.42,6.92,-3.05,-0.64,-0.62,1.01,-2.17,-4.25,-4.21,-5.41
Raw PDF,,,,,,,,,,,,,
