,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,053","1,159","1,232","1,085",980,942,983,940,929,974,"1,063","1,042","1,145"
Expenses +,908,"1,011","1,100",931,845,819,858,828,827,850,935,936,"1,018"
Operating Profit,145,148,132,154,135,123,125,112,102,124,128,106,127
OPM %,14%,13%,11%,14%,14%,13%,13%,12%,11%,13%,12%,10%,11%
Other Income +,1,-2,1,4,7,2,3,6,24,5,9,4,8
Interest,3,4,6,6,6,6,5,6,5,4,4,5,6
Depreciation,18,19,20,22,23,24,25,25,26,27,28,28,28
Profit before tax,124,123,107,131,113,96,98,88,94,99,104,77,100
Tax %,21%,18%,21%,19%,20%,22%,21%,19%,18%,19%,19%,16%,24%
Net Profit +,98,100,84,106,91,75,77,71,78,80,85,65,76
EPS in Rs,27.75,28.31,23.66,29.96,25.53,21.20,21.84,20.13,21.86,22.48,23.89,18.22,21.40
Raw PDF,,,,,,,,,,,,,
