,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,143,211,216,196,203,162,121,148,148,152,163,170,165
Expenses +,126,182,181,154,163,140,108,121,129,136,140,146,133
Operating Profit,16,30,35,42,40,23,13,28,19,16,23,24,32
OPM %,11%,14%,16%,21%,20%,14%,11%,19%,13%,11%,14%,14%,19%
Other Income +,4,4,4,4,5,12,4,5,5,11,5,5,8
Interest,3,4,5,5,6,4,3,4,3,3,3,3,3
Depreciation,8,8,8,8,8,9,9,9,11,12,13,12,13
Profit before tax,10,22,27,33,31,21,6,20,9,12,12,14,25
Tax %,-16%,26%,25%,25%,28%,25%,46%,29%,35%,20%,20%,22%,21%
Net Profit +,11,16,20,25,22,16,3,14,6,9,10,11,19
EPS in Rs,20.25,29.36,35.79,44.26,40.05,28.38,5.35,25.21,10.10,16.63,17.10,19.07,34.46
Raw PDF,,,,,,,,,,,,,
