,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,226,286,313,312,377
Expenses +,216,266,287,281,339
Operating Profit,10,20,26,31,37
OPM %,4%,7%,8%,10%,10%
Other Income +,6,1,1,3,3
Interest,4,6,6,7,6
Depreciation,4,8,9,11,12
Profit before tax,8,7,12,16,22
Tax %,43%,27%,31%,18%,24%
Net Profit +,4,5,8,13,17
EPS in Rs,1.57,1.87,2.93,3.82,4.12
Dividend Payout %,13%,11%,10%,8%,7%
