,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,823,913,689,"1,629",961,910,"1,217","1,054","1,315","1,405","1,320","1,411","1,150"
Expenses +,472,421,378,689,593,436,579,544,526,590,506,555,532
Operating Profit,352,492,310,940,369,474,638,509,789,815,814,856,618
OPM %,43%,54%,45%,58%,38%,52%,52%,48%,60%,58%,62%,61%,54%
Other Income +,20,67,124,36,94,25,28,31,247,39,41,52,63
Interest,32,33,36,38,62,62,56,50,50,59,52,75,80
Depreciation,10,10,10,10,10,11,11,11,14,20,21,23,24
Profit before tax,331,517,388,929,391,426,599,479,971,775,782,810,577
Tax %,30%,22%,18%,24%,-23%,25%,24%,25%,19%,25%,25%,24%,25%
Net Profit +,232,403,319,703,480,322,457,360,788,585,589,618,433
EPS in Rs,6.39,11.09,8.76,19.32,13.21,8.85,12.56,9.91,21.67,16.08,16.21,17.01,11.91
Raw PDF,,,,,,,,,,,,,
