,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,508,814,"1,603","2,401","5,633","6,481","7,396"
Expenses +,"1,450","1,047","1,561","2,420","5,950","6,410","7,149"
Operating Profit,-942,-233,42,-18,-317,70,247
OPM %,-186%,-29%,3%,-1%,-6%,1%,3%
Other Income +,27,83,137,116,153,94,107
Interest,0,4,14,38,72,115,121
Depreciation,18,38,70,111,294,371,400
Profit before tax,-933,-191,95,-51,-530,-322,-166
Tax %,-0%,-0%,-124%,54%,-8%,-0%,
Net Profit +,-933,-191,216,-79,-486,-322,-197
EPS in Rs,,,,,,,
Dividend Payout %,0%,0%,0%,0%,0%,0%,
