,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,349,359,344,359,341,377,370,399,393,375,353,390,403
Expenses +,256,264,256,263,250,284,274,295,295,292,268,293,306
Operating Profit,93,95,87,96,91,93,95,103,98,83,85,97,97
OPM %,27%,26%,25%,27%,27%,25%,26%,26%,25%,22%,24%,25%,24%
Other Income +,7,18,4,4,4,16,6,4,4,8,5,5,395
Interest,16,16,12,11,11,12,11,12,12,12,11,11,10
Depreciation,33,29,26,27,26,26,25,23,24,23,26,26,26
Profit before tax,51,68,54,62,59,71,66,73,66,57,53,65,455
Tax %,6%,-26%,-8%,4%,6%,4%,3%,-1%,3%,0%,7%,8%,-0%
Net Profit +,48,85,58,60,55,69,64,74,65,56,49,60,456
EPS in Rs,"1,602.33",1.70,1.15,1.18,1.10,1.37,1.26,1.46,1.27,1.10,0.97,1.20,9.11
Raw PDF,,,,,,,,,,,,,
