,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,148,160,140,167,184,161,164,155,118,180,199,220,240
Expenses +,105,118,103,120,124,116,118,124,107,137,145,155,161
Operating Profit,42,42,37,47,60,45,46,31,10,43,54,65,80
OPM %,29%,27%,26%,28%,32%,28%,28%,20%,9%,24%,27%,29%,33%
Other Income +,0,6,6,3,1,2,14,5,4,9,8,11,2
Interest,3,3,1,0,1,1,2,2,4,3,2,3,5
Depreciation,4,5,5,6,7,9,10,10,10,10,11,11,13
Profit before tax,35,41,37,44,52,37,49,24,0,39,49,61,64
Tax %,26%,26%,27%,20%,28%,19%,25%,27%,486%,24%,28%,29%,21%
Net Profit +,26,31,27,35,38,30,37,17,-1,30,35,43,50
EPS in Rs,2.31,2.46,2.19,2.81,3.02,2.25,2.77,1.31,-0.11,2.26,2.63,3.27,3.79
Raw PDF,,,,,,,,,,,,,
