,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,333,843,674,"1,000",876,"1,966","1,091","1,912","1,554","2,417","1,436","1,675","1,193"
Expenses +,221,581,517,773,712,"1,430",805,"1,463","1,096","1,699","1,025","1,139",932
Operating Profit,112,262,157,227,165,536,286,449,458,719,411,536,261
OPM %,34%,31%,23%,23%,19%,27%,26%,24%,29%,30%,29%,32%,22%
Other Income +,10,"-1,182",13,30,19,12,20,11,8,6,34,18,19
Interest,4,5,21,21,17,1,1,2,2,2,4,8,13
Depreciation,4,5,5,6,7,8,10,15,17,19,18,22,22
Profit before tax,114,-930,143,230,160,540,295,444,448,704,424,524,245
Tax %,-8%,0%,0%,0%,-68%,25%,22%,25%,38%,21%,29%,26%,17%
Net Profit +,123,-930,143,230,269,403,231,332,277,557,301,389,202
EPS in Rs,3.35,-20.92,3.21,5.17,5.33,7.99,4.58,6.56,5.48,11.03,5.76,7.44,3.86
Raw PDF,,,,,,,,,,,,,
