,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,477","3,321","3,373","3,910","4,949","4,380","4,720","5,260","6,485","5,528","5,196","5,345","6,131"
Expenses +,"3,208","3,013","3,063","3,533","4,484","3,971","4,416","4,755","5,934","5,050","4,753","4,904","5,576"
Operating Profit,269,308,310,376,465,409,304,505,551,478,443,441,555
OPM %,8%,9%,9%,10%,9%,9%,6%,10%,8%,9%,9%,8%,9%
Other Income +,187,32,32,56,24,28,28,29,13,31,29,48,58
Interest,127,111,123,138,143,132,153,156,153,155,167,166,193
Depreciation,46,48,50,52,53,53,53,53,52,54,55,54,54
Profit before tax,283,181,169,242,293,252,125,325,358,300,250,270,367
Tax %,17%,24%,19%,30%,31%,27%,31%,29%,33%,26%,30%,24%,28%
Net Profit +,234,137,138,168,203,184,86,231,239,223,175,206,265
EPS in Rs,3.97,2.09,2.09,2.51,3.04,2.76,1.23,3.51,3.81,3.34,2.60,3.08,4.04
Raw PDF,,,,,,,,,,,,,
