,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,81,66,65,47,145,165,265,230,263,281,301,304,473
Expenses +,61,57,50,38,127,133,218,207,238,239,260,260,417
Operating Profit,20,9,15,9,19,32,47,24,26,42,40,44,56
OPM %,24%,14%,24%,18%,13%,20%,18%,10%,10%,15%,13%,15%,12%
Other Income +,0,1,0,1,1,1,-1,0,1,1,2,2,6
Interest,2,1,2,1,3,7,10,9,11,12,10,9,8
Depreciation,2,2,2,2,2,8,8,9,8,8,8,8,8
Profit before tax,16,7,12,6,14,18,28,6,7,23,25,29,47
Tax %,33%,17%,17%,18%,56%,33%,32%,41%,17%,28%,32%,29%,30%
Net Profit +,11,6,10,5,6,12,19,4,6,16,17,21,33
EPS in Rs,1.82,1.03,1.65,0.78,1.05,2.00,3.25,0.61,0.92,2.71,2.76,3.39,5.43
Raw PDF,,,,,,,,,,,,,
