,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"65,179","85,806","49,497","80,270","94,474","115,448","85,689","38,066","65,477","91,445","60,356","66,924","96,630"
Expenses +,"64,862","85,666","49,192","79,852","94,025","115,046","85,354","38,016","65,465","91,609","60,318","66,847","96,564"
Operating Profit,318,141,305,418,450,402,334,50,12,-164,37,77,67
OPM %,0%,0%,1%,1%,0%,0%,0%,0%,0%,-0%,0%,0%,0%
Other Income +,0,38,1,1,1,21,12,14,12,204,21,22,21
Interest,0,0,0,0,0,19,0,0,0,43,30,32,33
Depreciation,13,23,23,24,27,26,31,11,11,11,11,12,12
Profit before tax,304,157,283,395,423,377,315,53,13,-14,17,54,43
Tax %,1%,12%,4%,6%,0%,3%,2%,14%,2%,129%,32%,16%,18%
Net Profit +,300,139,272,373,422,366,309,45,12,-32,12,46,36
EPS in Rs,10.17,4.69,9.20,12.63,14.28,12.40,10.48,1.53,0.42,-1.07,0.40,1.54,1.20
Raw PDF,,,,,,,,,,,,,
