,Mar 2021,Mar 2022,Mar 2023,Mar 2025
Sales +,224,335,456,782
Expenses +,137,197,199,452
Operating Profit,87,138,257,330
OPM %,39%,41%,56%,42%
Other Income +,29,37,30,41
Interest,26,17,17,26
Depreciation,122,118,121,129
Profit before tax,-32,39,149,217
Tax %,-30%,26%,25%,28%
Net Profit +,-22,29,112,157
EPS in Rs,-2.59,3.39,12.94,18.08
Dividend Payout %,0%,15%,15%,11%
