,Sep 2023,Dec 2023,Dec 2024,Mar 2025
Sales +,122,201,266,232
Expenses +,98,166,223,197
Operating Profit,24,36,44,35
OPM %,20%,18%,16%,15%
Other Income +,1,1,10,7
Interest,1,1,3,3
Depreciation,1,1,3,3
Profit before tax,23,35,48,35
Tax %,19%,23%,25%,36%
Net Profit +,19,27,36,20
EPS in Rs,0.13,0.19,0.24,0.12
Raw PDF,,,,
