,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,233,208,201,197,316,248,248,298,297,246,260,281,369
Expenses +,221,197,193,191,266,226,231,269,279,230,240,262,327
Operating Profit,12,11,8,6,50,21,17,29,18,16,20,19,42
OPM %,5%,5%,4%,3%,16%,9%,7%,10%,6%,6%,8%,7%,11%
Other Income +,3,3,1,1,3,2,1,1,-1,1,1,-17,8
Interest,7,6,7,7,8,8,9,8,10,8,8,8,10
Depreciation,9,11,11,11,11,11,11,12,12,12,11,11,10
Profit before tax,-2,-3,-8,-10,34,4,-2,11,-5,-3,3,-16,30
Tax %,176%,-14%,-19%,-5%,24%,64%,115%,32%,46%,27%,111%,20%,28%
Net Profit +,-6,-3,-7,-10,26,1,-5,7,-7,-4,-0,-19,22
EPS in Rs,-4.94,-1.99,-5.32,-7.50,20.02,1.13,-3.54,5.63,-5.35,-2.98,-0.24,-14.96,14.64
Raw PDF,,,,,,,,,,,,,
