,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,553,643,966,"1,665","2,306","2,590","2,839"
Expenses +,511,499,736,"1,378","1,910","2,084","2,305"
Operating Profit,42,144,230,287,396,505,534
OPM %,8%,22%,24%,17%,17%,20%,19%
Other Income +,7,-102,-3,-21,58,79,107
Interest,6,9,7,6,31,49,22
Depreciation,17,19,26,33,60,76,80
Profit before tax,26,14,195,226,363,459,539
Tax %,45%,191%,23%,28%,27%,27%,25%
Net Profit +,14,-12,149,163,266,337,407
EPS in Rs,89.98,-40.20,951.96,937.73,11.99,15.14,16.95
Dividend Payout %,0%,0%,0%,0%,0%,0%,12%
