,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,921","2,229","2,257","1,358","3,094","1,927","1,833","1,474","1,773","1,816","1,407","1,007","1,374"
Expenses +,"2,538","2,203","1,916","1,502","2,779","1,630","1,579","1,236","1,891","1,663","1,165","1,090","1,085"
Operating Profit,383,26,341,-144,315,296,254,239,-118,152,242,-83,288
OPM %,13%,1%,15%,-11%,10%,15%,14%,16%,-7%,8%,17%,-8%,21%
Other Income +,11,16,250,74,171,30,35,199,710,33,46,589,18
Interest,294,263,248,236,266,246,256,146,165,146,159,183,111
Depreciation,53,32,32,32,32,29,28,30,18,26,26,90,22
Profit before tax,47,-253,312,-338,187,51,5,261,410,14,102,234,173
Tax %,66%,10%,-2%,-24%,-1%,-4%,161%,30%,40%,118%,38%,117%,48%
Net Profit +,16,-279,319,-258,190,53,-3,182,246,-2,64,-39,90
EPS in Rs,0.09,-1.66,1.90,-1.54,1.13,0.31,-0.02,1.09,1.46,-0.01,0.38,-0.21,0.50
Raw PDF,,,,,,,,,,,,,
