,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,116","1,070","1,226","1,346","1,463","1,583","1,198","1,409","1,311","1,302","1,301","1,491","1,268"
Expenses +,913,895,"1,112","1,301","1,269","1,319","1,073","1,346","1,118","1,057","1,214","1,486","1,191"
Operating Profit,203,175,114,45,193,263,125,63,193,246,86,5,77
OPM %,18%,16%,9%,3%,13%,17%,10%,4%,15%,19%,7%,0%,6%
Other Income +,15,4,18,"1,421",37,22,12,12,22,16,11,14,24
Interest,12,15,22,17,8,10,21,10,6,18,26,16,11
Depreciation,20,20,22,23,24,24,25,26,26,27,29,32,33
Profit before tax,185,143,89,"1,426",199,251,91,39,182,217,42,-30,58
Tax %,30%,24%,25%,3%,26%,24%,26%,26%,25%,26%,26%,-26%,26%
Net Profit +,130,109,66,"1,388",147,190,68,29,137,161,31,-22,43
EPS in Rs,5.38,4.52,2.75,57.40,6.09,8.69,3.09,1.33,6.28,7.36,1.43,-0.88,2.20
Raw PDF,,,,,,,,,,,,,
