,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,998,983,"1,212","1,222","1,303","1,191","1,320","1,214",971,673,769,766,804
Expenses +,908,897,"1,092","1,096","1,185","1,082","1,184","1,097",897,660,737,731,746
Operating Profit,91,86,120,125,118,109,136,117,74,13,32,36,58
OPM %,9%,9%,10%,10%,9%,9%,10%,10%,8%,2%,4%,5%,7%
Other Income +,15,25,43,32,48,36,35,32,40,29,30,33,33
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,15,16,19,21,22,23,24,23,27,26,28,29,29
Profit before tax,90,94,144,137,144,122,147,125,87,16,34,40,61
Tax %,8%,23%,28%,17%,35%,23%,22%,21%,24%,32%,28%,52%,22%
Net Profit +,83,73,104,113,94,94,115,99,66,11,24,19,48
EPS in Rs,77.44,67.98,97.63,105.77,88.09,87.80,107.75,92.46,61.76,10.32,22.90,18.07,44.76
Raw PDF,,,,,,,,,,,,,
