,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,72.94%,72.94%,72.94%,73.19%,73.19%,73.19%,73.19%,73.19%,73.19%,73.19%,73.19%,73.68%
FIIs +,3.17%,2.59%,2.36%,2.43%,2.47%,2.56%,2.55%,2.65%,2.63%,2.73%,2.83%,3.02%
DIIs +,0.05%,0.05%,0.04%,0.04%,0.05%,0.05%,0.06%,0.05%,0.06%,0.07%,0.09%,0.10%
Public +,22.05%,22.65%,22.90%,23.09%,23.03%,22.95%,22.96%,22.85%,22.87%,22.76%,22.82%,22.89%
Others +,1.79%,1.76%,1.76%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.06%,0.31%
No. of Shareholders,"18,14,058","18,78,778","19,14,284","19,15,809","19,18,108","20,04,436","19,83,667","21,18,064","21,14,618","20,82,196","21,41,410","21,34,368"
