,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,74.46%,74.47%,74.45%,74.45%
FIIs +,0.27%,0.48%,0.62%,0.74%,0.43%,1.12%,0.81%,2.31%,2.69%
DIIs +,15.27%,15.37%,15.39%,15.08%,14.47%,14.08%,12.59%,11.19%,10.28%
Government +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
Public +,9.46%,9.15%,8.99%,9.18%,10.10%,10.33%,12.13%,12.04%,12.55%
No. of Shareholders,"16,265","16,830","17,018","17,302","17,379","21,910","22,913","24,429","34,629"
