,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,387,387,387,412,424
Reserves,246,295,416,"1,204","2,330"
Borrowings +,138,139,288,349,502
Other Liabilities +,220,250,543,975,743
Total Liabilities,991,"1,072","1,634","2,940","3,999"
Fixed Assets +,418,428,464,831,972
CWIP,21,22,27,54,66
Investments,2,8,11,93,164
Other Assets +,550,615,"1,131","1,962","2,797"
Total Assets,991,"1,072","1,634","2,940","3,999"
