,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,61.73%,61.73%,61.73%,61.72%
FIIs +,14.89%,9.92%,10.96%,10.16%
DIIs +,13.42%,18.94%,16.22%,16.21%
Government +,0.00%,0.09%,0.00%,0.00%
Public +,9.96%,9.32%,11.11%,11.92%
No. of Shareholders,"6,78,238","6,85,401","8,88,941","9,54,433"
