,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,59.38%,51.00%,51.00%
FIIs +,0.25%,0.27%,0.26%,0.26%,0.37%,0.59%,0.69%,1.20%,2.04%,6.82%,12.04%,13.04%
DIIs +,15.72%,15.70%,15.73%,15.72%,16.52%,16.18%,16.11%,15.84%,14.96%,25.61%,28.40%,28.18%
Public +,9.03%,9.04%,9.01%,9.02%,8.11%,8.23%,8.20%,7.96%,8.00%,8.19%,8.55%,7.77%
No. of Shareholders,"40,825","39,063","39,123","38,865","38,226","39,717","37,443","44,121","59,130","74,413","87,000","82,054"
