,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,84.91%,84.87%,74.97%,74.95%
FIIs +,3.46%,3.41%,8.13%,10.14%
DIIs +,9.89%,9.88%,12.64%,10.59%
Public +,1.75%,1.83%,4.27%,4.31%
No. of Shareholders,"61,220","61,207","92,083","73,545"
