,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,71.66%,64.89%,64.89%,64.89%,64.89%,64.09%,64.09%,53.96%,53.96%
FIIs +,10.39%,8.90%,8.59%,8.41%,8.11%,8.50%,17.13%,11.16%,10.25%
DIIs +,2.74%,3.90%,3.90%,3.95%,3.52%,2.88%,2.92%,14.33%,13.24%
Public +,15.21%,22.31%,22.62%,22.75%,23.48%,24.53%,15.85%,20.53%,22.53%
No. of Shareholders,"11,598","8,124","8,051","7,262","6,290","9,929","18,760","98,555","1,50,875"
