,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,82.88%,76.05%,76.05%,76.05%,76.05%,66.14%,66.14%,66.14%,66.14%
FIIs +,0.00%,0.07%,0.14%,0.19%,0.71%,0.31%,1.51%,3.13%,3.27%
DIIs +,13.41%,14.53%,14.48%,13.65%,12.66%,16.44%,16.44%,12.28%,8.57%
Public +,3.70%,9.36%,9.34%,10.11%,10.58%,17.10%,15.90%,18.45%,22.00%
No. of Shareholders,"69,321","1,29,089","1,32,408","1,36,167","1,63,636","3,25,776","3,25,454","4,28,801","6,35,955"
