,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,138,298,193,286
Cash from Investing Activity +,-177,-270,-131,-228
Cash from Financing Activity +,-28,-31,-34,-44
Net Cash Flow,-68,-3,28,14
