,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,315,299,411,830,736,553,843,737
Cash from Investing Activity +,-33,-168,9,-496,"-1,736",263,-207,-131
Cash from Financing Activity +,-175,-186,-513,-96,907,-911,-541,-575
Net Cash Flow,107,-56,-93,238,-92,-95,95,32
