,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"25,247","30,759","24,029","26,246","25,042","29,131","24,359","29,712","23,349","27,959","23,998","24,675","24,490"
Expenses +,"21,845","26,421","21,727","25,511","22,964","26,206","22,710","25,837","21,206","24,476","21,778","21,762","22,460"
Operating Profit,"3,402","4,338","2,302",735,"2,079","2,924","1,649","3,875","2,142","3,483","2,220","2,913","2,030"
OPM %,13%,14%,10%,3%,8%,10%,7%,13%,9%,12%,9%,12%,8%
Other Income +,-31,525,314,512,509,519,527,-174,355,-43,-28,322,393
Interest,316,440,374,506,640,517,613,605,614,642,691,758,680
Depreciation,"1,049","1,144","1,194","1,183","1,221","1,365","1,275","1,327","1,321","1,356","1,402","1,304","1,421"
Profit before tax,"2,006","3,279","1,047",-443,726,"1,562",288,"1,770",563,"1,441",98,"1,173",323
Tax %,24%,24%,23%,-26%,25%,26%,26%,26%,25%,22%,17%,24%,56%
Net Profit +,"1,529","2,479",804,-329,542,"1,159",212,"1,306",423,"1,126",82,897,142
EPS in Rs,3.70,6.00,1.95,-0.80,1.31,2.81,0.51,3.16,1.02,2.73,0.20,2.17,0.34
Raw PDF,,,,,,,,,,,,,
