,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,61.49%,61.48%,62.05%,62.14%,62.12%,62.10%,62.07%,62.13%,62.09%,61.87%,62.36%,62.53%
FIIs +,7.35%,7.48%,7.30%,7.13%,7.18%,7.91%,7.79%,7.76%,7.85%,7.72%,8.19%,9.99%
DIIs +,5.72%,5.14%,4.46%,6.12%,7.99%,6.94%,5.58%,5.81%,6.77%,9.63%,11.82%,11.12%
Public +,25.43%,25.88%,26.18%,24.61%,22.71%,23.06%,24.57%,23.79%,22.64%,20.12%,16.98%,15.71%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.66%,0.65%,0.65%,0.65%
No. of Shareholders,"1,93,021","1,92,283","2,10,852","2,08,419","1,85,803","2,02,705","1,95,334","2,03,244","2,32,421","2,65,650","2,60,656","2,48,870"
