,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%
FIIs +,3.50%,5.13%,5.08%,4.85%,4.24%,4.73%,5.29%,5.40%,5.37%,5.46%,5.98%,5.46%
DIIs +,9.59%,7.90%,8.45%,9.86%,11.10%,11.76%,11.76%,11.73%,12.65%,12.94%,12.49%,13.04%
Public +,11.91%,11.97%,11.45%,10.29%,9.64%,8.50%,7.94%,7.88%,6.98%,6.60%,6.50%,6.49%
No. of Shareholders,"29,449","34,404","36,628","36,656","36,840","35,019","29,294","34,031","29,994","30,301","30,925","29,904"
