,Mar 2015,Mar 2016,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,100,53,29,34,61,55,57,60,69
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,100,53,29,34,61,55,57,60,69
Working Capital Days,12,-83,195,143,364,165,63,40,-33
ROCE %,,-101%,,-34%,-21%,-22%,-12%,-8%,-10%
