,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,6,5,8,5,4,6,6,6
Inventory Days,208,200,205,272,232,216,191,162
Days Payable,31,19,24,35,26,37,45,39
Cash Conversion Cycle,184,187,189,241,210,185,153,129
Working Capital Days,121,123,122,157,146,124,96,74
ROCE %,,7%,11%,7%,9%,13%,14%,14%
