,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,56.19%,56.19%,55.95%,55.81%,55.68%,55.17%,54.93%,54.79%
FIIs +,9.40%,9.45%,7.16%,6.91%,6.73%,13.87%,15.46%,16.58%
DIIs +,0.79%,0.78%,0.92%,1.26%,1.43%,1.53%,4.71%,5.80%
Public +,32.17%,32.13%,35.95%,36.00%,36.15%,29.39%,24.90%,22.83%
Others +,1.43%,1.43%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
No. of Shareholders,"95,067","94,906","78,627","79,220","92,591","1,10,219","1,28,525","1,33,244"
