,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,561,211,371,640,662,"1,155","1,283","1,160","1,177","1,852","2,954","4,061"
Cash from Investing Activity +,-904,-491,"-1,138",-510,-684,-703,"-1,505","-3,651","-1,662","-14,260","-1,002",-234
Cash from Financing Activity +,426,186,"1,068",-178,-240,-242,388,"2,564",242,"13,049","-2,333","-1,854"
Net Cash Flow,83,-94,300,-47,-261,210,165,72,-243,641,-380,"1,973"
