,Sep 2024,Dec 2024,Mar 2025
Promoters +,88.75%,88.75%,88.75%
FIIs +,1.68%,1.11%,1.12%
DIIs +,1.83%,0.82%,0.72%
Government +,0.11%,0.00%,0.00%
Public +,7.63%,9.32%,9.40%
No. of Shareholders,"23,09,518","26,45,574","26,05,368"
