,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,19,19,19,19,19,19,19,19,19,19,19,19
Reserves,"1,720","2,065","2,304","2,698","2,990","3,495","3,682","4,225","4,736","5,672","6,639","6,908"
Borrowings +,121,99,184,140,123,128,127,193,10,503,461,491
Other Liabilities +,373,367,278,333,426,391,334,321,361,437,375,417
Total Liabilities,"2,233","2,549","2,785","3,190","3,559","4,033","4,162","4,758","5,125","6,630","7,494","7,834"
Fixed Assets +,389,551,672,670,671,845,890,811,790,"1,003","1,110","1,175"
CWIP,100,46,38,43,97,60,32,161,210,107,92,77
Investments,529,637,946,960,"1,092","1,145","1,418",809,"1,055","2,254","3,043","3,919"
Other Assets +,"1,215","1,314","1,128","1,518","1,699","1,984","1,821","2,977","3,070","3,266","3,249","2,663"
Total Assets,"2,233","2,549","2,785","3,190","3,559","4,033","4,162","4,758","5,125","6,630","7,494","7,834"
