,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,28,29,29,29,29,29,29,29,29,29,29,29
Reserves,"2,253","2,173","2,605","2,862","2,867","3,329","4,288","5,121","6,329","7,878","9,390","11,058"
Borrowings +,"1,843","2,288","2,677","2,228","2,728","2,954","2,019",385,395,393,492,780
Other Liabilities +,"3,481","3,872","3,871","3,526","4,224","4,261","3,812","3,360","4,532","5,934","5,933","7,059"
Total Liabilities,"7,605","8,362","9,182","8,645","9,848","10,574","10,149","8,895","11,285","14,235","15,845","18,928"
Fixed Assets +,"1,734","1,380","1,320","1,328","1,327","1,309","2,032","2,015","2,092","2,200","3,112","4,183"
CWIP,74,46,42,22,48,191,65,90,141,399,235,352
Investments,342,352,477,388,221,201,211,214,243,287,854,"1,031"
Other Assets +,"5,455","6,583","7,343","6,907","8,252","8,873","7,840","6,576","8,809","11,348","11,644","13,362"
Total Assets,"7,605","8,362","9,182","8,645","9,848","10,574","10,149","8,895","11,285","14,235","15,845","18,928"
