,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,88.35%,88.35%,74.59%,74.59%
FIIs +,1.06%,0.65%,2.35%,3.75%
DIIs +,2.96%,3.14%,4.45%,7.68%
Public +,7.63%,7.86%,18.22%,13.66%
Others +,0.00%,0.00%,0.39%,0.33%
No. of Shareholders,"1,69,129","1,56,267","1,22,770","1,16,740"
