,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-210,-300,-63,-132,-399,-42,159
Cash from Investing Activity +,-758,-660,-449,-491,304,63,"-1,644"
Cash from Financing Activity +,"1,063","1,033",718,644,-51,81,"1,507"
Net Cash Flow,95,73,206,22,-146,102,22
