,Mar 2023,Mar 2024,Mar 2025
Promoters +,33.08%,33.04%,33.03%
FIIs +,9.89%,12.10%,11.76%
DIIs +,12.34%,10.25%,11.93%
Public +,44.67%,44.60%,43.28%
No. of Shareholders,"1,07,120","1,66,253","1,54,688"
