,Dec 2012,Dec 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Debtor Days,9,9,8,11,10,12,8,8,17,11,9,8
Inventory Days,194,224,208,217,225,232,238,246,265,292,218,227
Days Payable,92,110,105,104,129,146,146,142,192,153,99,73
Cash Conversion Cycle,111,123,111,124,106,99,100,112,90,150,128,162
Working Capital Days,32,36,39,61,51,56,46,54,47,64,52,72
ROCE %,42%,40%,34%,22%,22%,25%,31%,25%,-0%,8%,20%,19%
