,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,17,"1,579","1,999"
Cash from Investing Activity +,"-10,304","-9,207","-17,793"
Cash from Financing Activity +,"10,360","7,671","15,715"
Net Cash Flow,73,43,-80
