,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,70.78%,70.78%,71.02%,71.25%,71.27%,71.27%,71.27%,71.27%,71.27%,71.27%,71.27%,71.27%
FIIs +,3.15%,3.11%,2.99%,2.82%,2.87%,3.24%,3.39%,3.32%,3.36%,3.41%,3.27%,3.07%
DIIs +,7.07%,7.43%,7.64%,7.96%,8.34%,8.53%,8.86%,9.33%,9.54%,9.98%,10.54%,10.55%
Public +,19.00%,18.68%,18.34%,17.98%,17.51%,16.96%,16.47%,16.07%,15.82%,15.34%,14.92%,15.13%
No. of Shareholders,"3,28,969","3,45,741","3,61,927","3,58,700","3,43,295","3,16,135","2,91,401","2,69,388","2,52,981","2,39,245","2,37,195","2,36,677"
