,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,0,0,0,0,1,2
Inventory Days,106,110,111,98,83,88
Days Payable,102,144,133,99,69,70
Cash Conversion Cycle,4,-34,-22,-0,15,20
Working Capital Days,-17,-50,-7,7,20,28
ROCE %,,7%,8%,9%,11%,13%
