,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Cash from Operating Activity +,-0,"-8,697","-7,570","-11,894","-10,256","4,271",64,"-5,070","-24,029","-24,100","-27,935"
Cash from Investing Activity +,-0,-638,"-1,623",38,-690,"-3,070","2,429","-1,446","-2,675","-4,590",935
Cash from Financing Activity +,-0,"9,184","9,870","12,006","10,852",875,"-2,581","5,836","26,385","28,514","29,778"
Net Cash Flow,-0,-151,678,150,-94,"2,076",-88,-679,-318,-176,"2,778"
