,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,647,647,647,647,647,647,647,647,647,647,647
Reserves,"-1,499","-1,957","-2,159","-2,286","-2,119","-1,138",-827,15,627,729,724
Borrowings +,"1,119","1,856","2,402","2,278","2,274","1,821","1,822","1,838","1,842","1,810","1,805"
Other Liabilities +,"1,451","1,174",715,"1,215","1,547","1,316","1,756","2,276","2,379","2,682","2,806"
Total Liabilities,"1,718","1,720","1,605","1,854","2,348","2,646","3,399","4,775","5,494","5,868","5,981"
Fixed Assets +,330,314,297,295,296,299,286,816,814,827,951
CWIP,25,22,25,18,18,39,55,43,105,222,216
Investments,4,4,46,59,69,78,86,98,113,130,158
Other Assets +,"1,359","1,381","1,238","1,482","1,966","2,229","2,972","3,819","4,463","4,688","4,656"
Total Assets,"1,718","1,720","1,605","1,854","2,348","2,646","3,399","4,775","5,494","5,868","5,981"
