,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,22.18%,22.18%,22.48%,22.87%,23.47%,23.41%,23.35%,23.17%,23.28%
FIIs +,56.99%,41.75%,45.85%,43.52%,38.47%,34.02%,32.61%,31.04%,23.85%
DIIs +,7.26%,26.11%,20.53%,20.73%,21.24%,23.33%,24.88%,25.91%,34.13%
Public +,13.57%,9.97%,11.14%,12.88%,16.83%,19.25%,18.18%,19.00%,17.95%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.98%,0.88%,0.80%
No. of Shareholders,"20,087","25,385","34,223","44,011","57,316","1,16,297","1,21,541","1,62,068","1,85,366"
