,Dec 2023,Mar 2025
Equity Capital,,96
Reserves,,"3,914"
Borrowings +,,"1,167"
Other Liabilities +,,"7,016"
Total Liabilities,,"12,193"
Fixed Assets +,,"5,474"
CWIP,,"1,173"
Investments,,575
Other Assets +,,"4,972"
Total Assets,,"12,193"
