,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,70.49%,70.49%,70.54%,70.54%,70.54%,70.54%,70.54%,70.54%,70.54%
FIIs +,7.37%,6.87%,7.51%,7.52%,4.33%,3.50%,3.70%,4.10%,6.09%
DIIs +,12.57%,13.43%,13.03%,13.11%,16.19%,16.37%,16.78%,17.19%,16.00%
Public +,9.58%,9.21%,8.92%,8.83%,8.94%,9.59%,8.99%,8.15%,7.36%
No. of Shareholders,"56,108","67,782","73,237","73,784","81,507","98,873","79,456","65,376","68,418"
