,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"4,263","4,311","4,431","4,528","4,569","4,771","4,872","5,588","5,645","5,633","5,728","5,798","5,990"
Expenses +,"3,218","3,233","3,301","3,451","3,534","3,747","3,857","4,435","4,569","4,509","4,598","4,617","4,868"
Operating Profit,"1,045","1,077","1,130","1,077","1,034","1,024","1,015","1,153","1,076","1,124","1,129","1,181","1,122"
OPM %,25%,25%,26%,24%,23%,21%,21%,21%,19%,20%,20%,20%,19%
Other Income +,243,234,113,31,62,191,25,-212,-32,112,29,-7,926
Interest,90,80,98,123,132,131,137,184,186,172,189,187,182
Depreciation,589,537,552,555,618,580,605,603,651,647,648,637,672
Profit before tax,609,694,593,431,345,504,298,154,207,417,321,350,"1,193"
Tax %,40%,23%,11%,10%,8%,26%,26%,74%,-52%,21%,30%,36%,15%
Net Profit +,369,545,534,395,327,382,221,45,322,333,227,236,"1,041"
EPS in Rs,12.81,19.08,18.68,13.82,11.44,13.39,7.74,1.57,11.27,11.68,7.97,8.28,36.50
Raw PDF,,,,,,,,,,,,,
