,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,50,47,41,49,55,56,61,57,48,45,46,50
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,50,47,41,49,55,56,61,57,48,45,46,50
Working Capital Days,12,8,1,5,-4,-14,-37,-16,-15,-8,-14,16
ROCE %,28%,32%,48%,31%,28%,17%,13%,17%,31%,26%,19%,17%
