,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Promoters +,0.00%,0.00%,0.00%,74.74%,68.72%,70.28%,71.47%,74.72%,74.95%
FIIs +,0.00%,0.00%,0.00%,0.00%,6.03%,6.74%,7.01%,7.19%,7.41%
DIIs +,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%
Public +,100.00%,100.00%,100.00%,25.26%,25.25%,22.99%,21.52%,18.09%,17.54%
No. of Shareholders,659,758,798,646,641,"6,810","6,792","8,562","29,636"
