,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters +,88.35%,88.35%,88.35%,88.35%,88.35%,81.62%,81.62%,74.59%,74.59%,74.59%,74.59%,74.59%
FIIs +,0.81%,0.67%,0.76%,0.65%,0.65%,1.84%,1.98%,2.35%,2.25%,3.48%,3.84%,3.75%
DIIs +,3.09%,3.16%,3.21%,3.14%,3.17%,4.35%,3.72%,4.45%,5.39%,6.18%,6.74%,7.68%
Public +,7.75%,7.82%,7.66%,7.86%,7.84%,11.78%,12.26%,18.22%,17.40%,15.36%,14.44%,13.66%
Others +,0.00%,0.00%,0.00%,0.00%,0.00%,0.43%,0.43%,0.39%,0.39%,0.39%,0.39%,0.33%
No. of Shareholders,"1,64,622","1,64,333","1,59,043","1,56,267","1,46,165","1,30,019","1,24,167","1,22,770","1,20,726","1,27,474","1,21,181","1,16,740"
