,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,86,52,56,28,25,27,20,30,21,23,24,24
Inventory Days,,,,,,,,,,,,9
Days Payable,,,,,,,,,,,,22
Cash Conversion Cycle,86,52,56,28,25,27,20,30,21,23,24,10
Working Capital Days,-91,-84,-57,-60,-113,-75,-61,-28,-19,-25,-8,-4
ROCE %,17%,16%,15%,19%,20%,25%,30%,31%,28%,27%,21%,15%
