,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Cash from Operating Activity +,103,227,901,354,403,981,623,648,774,218,-185,"1,306"
Cash from Investing Activity +,-164,-229,338,-326,618,184,-255,-49,-848,-201,-348,373
Cash from Financing Activity +,-265,-527,"-1,106",-99,-979,-761,-335,-743,-198,453,909,"-1,877"
Net Cash Flow,-327,-528,133,-71,42,405,33,-144,-271,470,376,-198
